,,,
Grote Zaal Patch,,,
Fixture Type,Unit Number,DmxChannel,Universe
STRIKE-4  3Q,101,1,1
STRIKE-4  3Q,102,2,1
STRIKE-4  3Q,103,3,1
STRIKE-4  3Q,104,4,1
STRIKE-4  3Q,105,5,1
STRIKE-4  3Q,106,6,1
STRIKE-4  3Q,107,7,1
STRIKE-4  3Q,108,8,1
STRIKE-4  3Q,109,9,1
STRIKE-4  3Q,110,10,1
K5 LED WASH  3Q,201,11,1
K5 LED WASH  3Q,202,30,1
K5 LED WASH  3Q,203,49,1
K5 LED WASH  3Q,204,68,1
K5 LED WASH  3Q,205,87,1
K5 LED WASH  3Q,206,106,1
K5 LED WASH  3Q,207,125,1
K5 LED WASH  3Q,208,144,1
K5 LED WASH  3Q,209,163,1
K5 LED WASH  3Q,210,182,1
K5 LED WASH  3Q,211,201,1
K5 LED WASH  3Q,212,220,1
K5 LED WASH  3Q,213,239,1
K5 LED WASH  3Q,214,258,1
K5 LED WASH  3Q,215,277,1
K5 LED WASH  3Q,216,296,1
K5 LED WASH  3Q,217,315,1
K5 LED WASH  3Q,218,334,1
K5 LED WASH  3Q,219,353,1
K5 LED WASH  3Q,220,372,1
K5 LED WASH  3Q,221,391,1
GHIBLI  3Q,301,1,2
GHIBLI  3Q,302,40,2
GHIBLI  3Q,303,79,2
GHIBLI  3Q,304,118,2
GHIBLI  3Q,305,157,2
GHIBLI  3Q,306,196,2
GHIBLI  3Q,307,235,2
GHIBLI  3Q,308,274,2
GHIBLI  3Q,309,313,2
GHIBLI  3Q,310,352,2
GHIBLI  3Q,311,1,3
GHIBLI  3Q,312,40,3
GHIBLI  3Q,313,79,3
GHIBLI  3Q,314,118,3
GHIBLI  3Q,315,157,3
GHIBLI  3Q,316,196,3
GHIBLI  3Q,317,235,3
GHIBLI  3Q,318,274,3
GHIBLI  3Q,319,313,3
GHIBLI  3Q,320,352,3
GHIBLI  3Q,321,391,3
STROBE ATOMIC 3000 LED  3Q,401,410,1
STROBE ATOMIC 3000 LED  3Q,402,414,1
STROBE ATOMIC 3000 LED  3Q,403,418,1
STROBE ATOMIC 3000 LED  3Q,404,422,1
STROBE ATOMIC 3000 LED  3Q,405,426,1
STROBE ATOMIC 3000 LED  3Q,406,430,1
STROBE ATOMIC 3000 LED  3Q,407,434,1
STROBE ATOMIC 3000 LED  3Q,408,438,1
